Job name,Duration,Time of execution,Result
AMS.Core.UnitTests,68204,2016-11-22T08:16:17Z,SUCCESS
AMS.Core.UnitTests,66076,2016-11-21T16:17:20Z,SUCCESS
AMS.Core.UnitTests,72400,2016-11-21T15:22:30Z,SUCCESS
AMS.Core.UnitTests,75217,2016-11-21T15:18:13Z,SUCCESS
AMS.Core.UnitTests,207473,2016-11-21T15:11:45Z,SUCCESS
AMS.Core.UnitTests,69718,2016-11-21T15:07:29Z,SUCCESS
AMS.Core.UnitTests,72146,2016-11-21T14:11:11Z,SUCCESS
AMS.Core.UnitTests,63404,2016-11-21T11:17:09Z,SUCCESS
AMS.Core.UnitTests,243502,2016-11-21T09:36:07Z,SUCCESS
AMS.Core.UnitTests,70052,2016-11-21T09:20:20Z,SUCCESS
AMS.Core.UnitTests,65911,2016-11-21T08:56:16Z,SUCCESS
AMS.Core.UnitTests,62005,2016-11-21T08:34:57Z,SUCCESS
AMS.IntegrationTests,75679,2016-12-21T15:33:40Z,SUCCESS
AMS.IntegrationTests,83228,2016-12-21T15:03:33Z,SUCCESS
AMS.IntegrationTests,79083,2016-12-21T14:46:06Z,SUCCESS
AMS.IntegrationTests,79629,2016-12-21T14:39:47Z,SUCCESS
AMS.IntegrationTests,76646,2016-12-21T14:21:55Z,SUCCESS
AMS.IntegrationTests,121160,2016-12-21T13:26:42Z,SUCCESS
AMS.IntegrationTests,79180,2016-12-21T13:16:16Z,SUCCESS
AMS.IntegrationTests,168169,2016-12-21T12:19:36Z,SUCCESS
AMS.IntegrationTests,77289,2016-12-21T11:58:12Z,SUCCESS
AMS.IntegrationTests,79137,2016-12-21T09:09:14Z,SUCCESS
AMS.IntegrationTests,77106,2016-12-20T16:29:17Z,SUCCESS
AMS.IntegrationTests,76100,2016-12-20T10:43:05Z,SUCCESS
AMS.IntegrationTests,85092,2016-12-19T15:59:55Z,SUCCESS
AMS.IntegrationTests,85288,2016-12-19T11:59:49Z,SUCCESS
AMS.IntegrationTests,78298,2016-12-16T11:02:04Z,SUCCESS
AMS.IntegrationTests,75118,2016-12-15T13:58:50Z,SUCCESS
AMS.IntegrationTests,79957,2016-12-14T10:15:00Z,SUCCESS
AMS.IntegrationTests,77077,2016-12-12T15:26:56Z,SUCCESS
AMS.IntegrationTests,79560,2016-12-12T14:21:26Z,SUCCESS
AMS.IntegrationTests,81296,2016-12-12T11:36:02Z,SUCCESS
AMS.IntegrationTests,73122,2016-12-12T11:16:47Z,SUCCESS
AMS.IntegrationTests,77835,2016-12-12T10:50:36Z,SUCCESS
AMS.IntegrationTests,84850,2016-12-09T16:24:40Z,SUCCESS
AMS.IntegrationTests,233303,2016-12-09T15:28:21Z,SUCCESS
AMS.IntegrationTests,75654,2016-12-09T15:16:38Z,SUCCESS
AMS.IntegrationTests,75159,2016-12-09T14:31:10Z,SUCCESS
AMS.IntegrationTests,77668,2016-12-06T17:05:54Z,SUCCESS
